---------------------------------------------------------------------------------------------------
File dibuat pada : 16/07 09:40:52
FORMAT ISI FILE INI
[waktu] (dibuka berapa kali) | (jarak tutup) | (kapasitas)
---------------------------------------------------------------------------------------------------

--> [2023-07-16T02:48:30.338Z] opened in: 2 | distance: 38 Cm | capacity: -31 %
--> [2023-07-16T09:31:20.342Z] opened in: 2 | distance: 38 Cm | capacity: -31 %
--> [2023-08-01T11:04:45.868Z] opened in: 1 | distance: 338 Cm | capacity: 7 %
--> [2023-08-01T11:05:20.906Z] opened in: 1 | distance: 338 Cm | capacity: 7 %
--> [2023-08-01T11:13:30.730Z] opened in: 1 | distance: 338 Cm | capacity: 7 %
--> [2023-08-01T11:14:26.568Z] opened in: 1 | distance: 338 Cm | capacity: 7 %
--> [2023-08-01T11:17:45.714Z] opened in: 1 | distance: 338 Cm | capacity: 7 %
--> [2023-08-01T11:24:00.516Z] opened in: 1 | distance: 338 Cm | capacity: 7 %
--> [2023-08-01T11:24:51.082Z] opened in: 1 | distance: 338 Cm | capacity: 7 %
--> [2023-08-01T11:31:30.395Z] opened in: 1 | distance: 338 Cm | capacity: 7 %
--> [2023-08-01T11:32:35.373Z] opened in: 1 | distance: 338 Cm | capacity: 7 %
--> [2023-08-01T11:33:20.246Z] opened in: 1 | distance: 338 Cm | capacity: 7 %
--> [2023-08-01T11:38:45.488Z] opened in: 1 | distance: 338 Cm | capacity: 7 %
--> [2023-08-01T11:39:36.039Z] opened in: 1 | distance: 338 Cm | capacity: 7 %
--> [2023-08-01T11:40:20.675Z] opened in: 1 | distance: 338 Cm | capacity: 7 %
--> [2023-08-01T14:51:20.536Z] opened in: 1 | distance: 338 Cm | capacity: 7 %
--> [2023-08-01T14:57:15.720Z] opened in: 1 | distance: 338 Cm | capacity: 7 %
--> [2023-08-01T15:02:31.100Z] opened in: 1 | distance: 338 Cm | capacity: 7 %
--> [2023-08-01T15:03:35.319Z] opened in: 1 | distance: 338 Cm | capacity: 7 %
--> [2023-08-01T15:05:45.482Z] opened in: 1 | distance: 338 Cm | capacity: 7 %
--> [2023-08-01T15:07:40.524Z] opened in: 1 | distance: 338 Cm | capacity: 7 %
--> [2023-08-01T15:10:05.648Z] opened in: 1 | distance: 338 Cm | capacity: 7 %
--> [2023-08-01T15:14:00.275Z] opened in: 1 | distance: 338 Cm | capacity: 7 %
--> [2023-08-01T15:15:36.467Z] opened in: 1 | distance: 338 Cm | capacity: 7 %
--> [2023-08-01T15:17:31.103Z] opened in: 1 | distance: 338 Cm | capacity: 7 %
--> [2023-08-01T15:18:30.753Z] opened in: 1 | distance: 338 Cm | capacity: 7 %
--> [2023-08-01T15:19:55.174Z] opened in: 1 | distance: 338 Cm | capacity: 7 %
--> [2023-08-01T15:21:20.726Z] opened in: 1 | distance: 338 Cm | capacity: 7 %
--> [2023-08-01T15:22:00.553Z] opened in: 1 | distance: 338 Cm | capacity: 7 %
--> [2023-08-01T15:24:10.728Z] opened in: 1 | distance: 338 Cm | capacity: 7 %
--> [2023-08-01T15:25:15.674Z] opened in: 1 | distance: 338 Cm | capacity: 7 %
--> [2023-08-01T15:26:20.155Z] opened in: 1 | distance: 338 Cm | capacity: 7 %
